ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000107263-24-000025	2183784	Common Stock				34264.0				I		By Trust	
0001562180-24-001729	2183625	Common Stock				78449.0				I		By Family Trust	F4
0001672909-24-000003	2183678	Common Stock				1928.0				I		By 401(k) Plan	
0001437749-24-005522	2183770	Common Stock				2000.0	F1			D			
0001562180-24-001721	2183682	Common Stock				885608.0				D			
0001437749-24-005517	2183730	Common Stock				1472.0	F1			I		Horizon Kinetics Hard Assets II LLC	
0001437749-24-005517	2183731	Common Stock				2484.0	F1			I		CDK Partners LP	
0001437749-24-005517	2183732	Common Stock				5549.0	F1			I		CDK Fund Ltd	
0001437749-24-005517	2183733	Common Stock				60.0	F1			I		Spouse	
0001225208-24-002921	2183661	Common Stock				10051.45	F3			I		By 401k	
0001225208-24-002921	2183662	Common Stock				1141.95				I		Indirect by Spouse	
0001225208-24-002920	2183873	Common Stock				5659.7	F3			I		By 401k	
0001225208-24-002920	2183874	Common Stock				605.98	F2			I		By Immediate Family	
0001225208-24-002919	2183935	Common Stock				7789.18	F3			I		By 401k	
0001225208-24-002918	2183971	Common Stock				11076.65	F2			I		By 401k	
0001225208-24-002918	2183972	Common Stock				587.0				I		Family Trust	
0001225208-24-002918	2183973	Common Stock				1268.0				I		Spouse 401K	
0001225208-24-002917	2183960	Common Stock				788.0				I		By Immediate Family	
0001225208-24-002917	2183959	Common Stock				1943.86	F2			I		By 401k	
0001225208-24-002917	2183961	Common Stock				195.1				I		By Wife- IRA	
0001225208-24-002916	2184054	Common Stock				3371.7	F3			I		By 401k	
0001225208-24-002915	2183837	Common Stock				7564.06	F4			I		By 401k	
0001225208-24-002915	2183838	Common Stock				85.91				I		By Wife	
0001225208-24-002914	2184042	Common Stock - Direct IRA				2208.0				D		By 401k	
0001225208-24-002914	2184043	Common Stock				3740.54	F3			I			
0001225208-24-002913	2183479	Common Stock				9755.29	F3			I		By 401k	
0001225208-24-002912	2183527	Common Stock				6602.14	F4			I		By 401k	
0001225208-24-002912	2183528	Common Stock				79.0				I		By Spouse	
0001225208-24-002911	2183508	Common Stock				14405.26	F3			I		By 401k	
0001225208-24-002911	2183509	Common Stock				10986.08				I		Trust for Children	
0001225208-24-002910	2183560	Common Stock				4160.82	F3			I		By 401k	
0001225208-24-002909	2183521	Common Stock				2898.03	F3			I		By 401k	
0001225208-24-002908	2183898	Common Stock				4112.08	F3			I			
0001225208-24-002908	2183897	Common Stock				22815.21	F3			I		By Wife- IRA	
0001225208-24-002908	2183896	Common Stock				1400.0				I		By Immediate Family	
0001225208-24-002908	2183895	Common Stock				72958.39	F4			I		By Corporation	
0001225208-24-002908	2183894	Common Stock - Direct IRA				7704.24	F3			D		By 401k	
0001381668-24-000046	2183684	Common Stock				16200.0				I		Trustee for daughter's trust	
0001381668-24-000046	2183683	Common Stock				51610.0				D		Trust Beneficiary	
0001381668-24-000046	2183685	Common Stock				40000.0				I			
0001381668-24-000044	2183900	Common Stock				15100.0				D			
0000058492-24-000149	2183557	Common Stock				5408.34				I		Held In Trust Under Issuer's Retirement Plan	
0000058492-24-000149	2183558	Common Stock				18598.26				I		By Trent Living Trust	
0000058492-24-000147	2183539	Common Stock				809.77				I		Held in Trust Under Issuer's Retirement Plan	
0000058492-24-000147	2183538	Common Stock				1000.0				I		By Spouse's IRA	
0000936340-24-000086	2183456	Common Stock				4495.55	F1			I		401(k)	
0001225208-24-002905	2184001	Common Stock				1925.0				D			
0001225208-24-002904	2183782	Common Stock				27094.0				I		By Trust	
0001062993-24-004420	2183771	Common Stock				2583.0				I		By 401(k) trust	
0001062993-24-004418	2183778	Common Stock				16267.0				I		By 401(k) trust	
0001062993-24-004416	2183445	Common Stock				420.0				I		By 401(k) trust	
0000058492-24-000144	2183717	Common Stock				26771.82				I		Held In Trust Under Issuer's Retirement Plan	
0000058492-24-000141	2183850	Common Stock				22.72				I		Held In Trust Under Issuer's Retirement Plan By Spouse	
0000058492-24-000141	2183848	Common Stock				29.2				I		Held In Trust Under Issuer's Retirement Plan	
0000058492-24-000141	2183849	Common Stock				1272.94				I		By Spouse	
0000950170-24-019994	2183711	Common Shares				2000.0				I		By IRA (Vanguard)	
0000950170-24-019994	2183710	Common Shares				203883.0				D		By IRA (Merrill-Lynch)	
0000950170-24-019994	2183712	Common Shares				1626.0	F1			I			
0001437749-24-005511	2183493	Common Stock				8.0	F1, F2			I		Horizon Kinetics Asset Management LLC	
0001437749-24-005510	2183671	Common Stock				5549.0	F1			I		CDK Fund Ltd	
0001437749-24-005510	2183670	Common Stock				2484.0	F1			I		CDK Partners LP	
0001437749-24-005510	2183669	Common Stock				1472.0	F1			I		Horizon Kinetics Hard Assets II LLC	
0001437749-24-005510	2183672	Common Stock				60.0	F1			I		Spouse	
0000950170-24-019967	2183815	Common Stock Par Value $0.01 per share				468.0				I	F3	Family Members	
0000950170-24-019963	2184040	Common Stock Par Value $0.01 per share				1167.0				I	F3	by wife	
0001127602-24-006812	2184051	Common Stock				2072.0				I		By Wife	
0001127602-24-006812	2184052	Depositary Shares Representing Series E Preferred Stock	F1			0.0	F1			D			
0001437749-24-005505	2183993	Common Stock				1550.0				I		By Spouse IRA	
0001437749-24-005505	2183994	Common Stock				112983.0	F1			D		By 401(k) Plan	
0001437749-24-005505	2183995	Common Stock				20491.28	F2			I		By ESOP	
0001437749-24-005505	2183996	Common Stock				23674.98				I			
0001127602-24-006809	2183727	Common Stock, $.25 Par Value				44678.0				I		By Wife	
0001127602-24-006809	2183728	Common Stock, $.25 Par Value				7082.0	F2			I		By 401(k) Plan	
0000912593-24-000072	2183974	COMMON STOCK, $0.01 PAR VALUE				5871.0				I		Owned by spouse	
0000912593-24-000072	2183975	COMMON STOCK, $0.01 PAR VALUE				86800.0				I		Owned by irrevocable trust.	F1
0000950170-24-019912	2183516	Common Stock Par Value $0.01 per share				8100.53				I	F3	By son	
0001225208-24-002888	2183631	Common Stock				2372.33				I		By 401(k) Plan	
0001381668-24-000041	2183665	Common Stock				69207.0				I		By Spouse	
0001209191-24-003939	2183580	Common Stock				862.79	F2			I		By 401(k) Plan	
0001209191-24-003939	2183579	Common Stock				3360.0				I		By Spouse	
0001127602-24-006801	2183761	Common Stock				125000.0				I		By Spouse	
0001127602-24-006801	2183762	Common Stock				48200.0				I		By Spouse As Custodian	
0001127602-24-006801	2183760	Common Stock				216300.0				I		By Family Limited Partnership	F1
0001127602-24-006801	2183759	Common Stock				2229594.0				I		By GRAT	
0001127602-24-006801	2183763	Common Stock				95964.63				I		By Trustee of Trust ACU Mother's Trust	
0001127602-24-006801	2183764	Common Stock				4540.0				I		By Trustee of Grandchildren's Trust	
0001127602-24-006801	2183765	Common Stock				9655.96				I		By IRA	
0001209191-24-003938	2183978	Common Stock				34293.0				I		Through investment entity	F2
0001209191-24-003938	2183977	Common Stock				53862.0				I		By Spouse	F1
0001209191-24-003938	2183976	Common Stock				11505.0				I		by 401(k) plan	
0001381668-24-000039	2184055	Common Stock				33500.0				D		Trustee	
0001381668-24-000039	2184057	Common Stock				1069.0				I			
0001381668-24-000039	2184056	Common Stock				84289.0				I		By Spouse	
0001381668-24-000037	2183715	Common Stock				66900.0				D			
0001381668-24-000035	2183554	Common Stock				59900.0				D			
0001381668-24-000033	2183525	Common Stock				82000.0				D			
0001381668-24-000031	2184021	Common Stock				21140.0				I			
0001381668-24-000031	2184020	Common Stock				25600.0				D		Trustee	
0001381668-24-000029	2183475	Common Stock				14305.0				D		Spouse	
0001381668-24-000029	2183476	Common Stock				19725.0				I			
0001562180-24-001715	2183666	Common Stock 401(k)				5714.1				D			
0001062993-24-004388	2183482	Class A Common Stock				7337.0				D			
0001183850-24-000001	2183492	Common				784.0				I		Shares held by my spouse	
0001437749-24-005489	2183595	Common Stock				82173.0				D			
0001437749-24-005488	2184068	Common Stock				6344.0				D			
0001209191-24-003931	2184035	Common Stock				205.24	F2			I		By 401(k) Plan	
0001437749-24-005486	2183790	Common Stock				4999.0				D			
0001437749-24-005485	2183695	Common Stock				11455.0				D		Held in GST Exempt Trust	
0001437749-24-005485	2183694	Common Stock				9175.0				I		Held in Irrevocable Trust	
0001437749-24-005485	2183696	Common Stock				580.0				I			
0002013076-24-000001	2183823	Common				85165200.0				D			
0001209191-24-003925	2183738	Farmers National Banc Corp. Common Stock				11137.0				I		By Minor Child	
0001209191-24-003925	2183739	Farmers National Banc Corp. Common Stock				11101.0				I		By Minor Child	
0001209191-24-003925	2183740	Farmers National Banc Corp. Common Stock				14684.0				I		By 401k Plan	
0001209191-24-003925	2183737	Farmers National Banc Corp. Common Stock				11137.0				I		By Minor Child	
0001209191-24-003925	2183741	Farmers National Banc Corp. Common Stock				2440.0				I		By Spouse	
0002013085-24-000001	2183858	Common				10000.0				D			
0001562180-24-001713	2184058	Common Stock 401(k)				8278.58				D			
0001062993-24-004378	2184005	Class A Common Stock				3684.0				D			
0001062993-24-004376	2183913	Class A Common Stock				23793.0				D			
0001062993-24-004374	2183716	Class A Common Stock				4448.0				D			
0001062993-24-004372	2183864	Class A Common Stock				57038.0				D			
0001564618-24-000051	2182858	Common Stock				158.0	F4			I		By SEP FBO Brenda Kay Montgomery	
0001564618-24-000051	2182857	Common Stock				4144.0	F3			I		By Independent Financial 401(k) Plan	
0001564618-24-000048	2183328	Common Stock				3213.0	F3			I		By Independent Financial 401(k) Profit Sharing Plan	
0001564618-24-000047	2183327	Common Stock				545977.0				I		By: Natur Family Limited Partnership	
0001564618-24-000047	2183325	Common Stock				30000.0				I		By Reece Brooks Trust	
0001564618-24-000047	2183326	Common Stock				30000.0				I		By Ryan Brooks Trust	
0001062993-24-004363	2182993	Common Stock				17249.0				I		By 401(k)	
0001315399-24-000017	2183371	Common Stock				28985.0				I		Trust	
0001315399-24-000017	2183370	Common Stock				43175.0				I		IRA	
0001315399-24-000017	2183372	Common Stock				27602.0				I		ITF	
0001315399-24-000017	2183369	Common Stock				75543.0				I		PSP	
0001437749-24-005473	2182936	Common Stock				500.0				D			
0001225208-24-002874	2182869	Common Stock				7241.0	F2			I		ESOP	
0001225208-24-002874	2182870	Common Stock				75.0	F3			I		UTMA Custodian for Daughter	
0001225208-24-002874	2182871	Common Stock				75.0	F3			I		UTMA Custodian for Son	
0001225208-24-002873	2183366	Common Stock				84147.24				D			
0001561680-24-000033	2183148	Common Stock				610000.0				I		See Note	F2
0001561680-24-000030	2182964	Common Stock				350611.0				I		See Note	F2
0001529628-24-000037	2183331	Common Stock				5842700.0				I		BY LLC	F2
0001529628-24-000030	2183204	Common Stock				448738.0				I		BY LLC	F2
0001477932-24-000884	2183245	Common Stock, par value $0.01 per share				468458.0				D			
0001415889-24-005161	2183027	Common Stock				2444.0				I		Based on 2/20/24 401k Plan balance provided by Fidelity	
0001213900-24-016662	2183368	Class A Common Stock				1585904.0				I		By fund	F3
0001415889-24-005160	2183041	Common Stock				1072556.0				D			
0001062993-24-004347	2183240	Common Shares				17176.0				D		by 401(k)	
0001062993-24-004347	2183241	Common Shares				117.0				I			
0001062993-24-004346	2183246	Common Shares				3.0	F2			I		by 401(k)	
0001062993-24-004345	2183346	Common Shares				577.0				I			
0001062993-24-004345	2183344	Common Shares				16551.0				D		by wife and dependent children	
0001062993-24-004345	2183345	Common Shares				5.0				I		By 401(k)	
0001062993-24-004344	2182980	Common Shares				15.0				I			
0001062993-24-004344	2182979	Common Shares				1873.0				D		by 401(k)	
0001062993-24-004343	2183298	Common Shares				116.0				I		by 401(k)	
0001016281-24-000027	2182863	Common Stock				6029.0				I		Joint with spouse	
0001415889-24-005159	2182832	Air Lease Corporation - Class A Common Stock				500.0				I		See footnote	F4
0001415889-24-005159	2182833	Air Lease Corporation - Class A Common Stock				500.0				I		See footnote	F4
0001016281-24-000022	2183420	Common Stock				35643.0				I		By Spouse	
0000950170-24-019676	2183153	Common Stock, $1 2/3 Par Value				1240.58	F2			I		Through 401(k) Plan	
0001213900-24-016657	2183347	Common Stock				130625.0				D		See footnotes	F1, F2
0001213900-24-016657	2183348	Common Stock				30000.0	F1, F2			I			
0001213900-24-016656	2182904	Common Stock				12495.0	F1			D			
0001213900-24-016655	2183386	Common Stock				5000.0	F1			D			
0001213900-24-016654	2183132	Common Stock				5000.0	F1			D			
0001213900-24-016653	2182988	Common Stock				150000.0				I			
0001213900-24-016653	2182987	Common Stock				788404.0				D		See footnotes	F1
0001213900-24-016653	2182989	Series A Preferred Stock				2000000.0				D			
0001213900-24-016652	2183432	Common Stock				797583.0				D		See footnotes	F1
0001213900-24-016652	2183433	Common Stock				150000.0				I			
0001213900-24-016652	2183434	Series A Preferred Stock				2000000.0				D			
0001415889-24-005158	2183248	Air Lease Corporation - Class A Common Stock				11573.0	F1			D			
0000950170-24-019669	2182893	Common Stock, $1 2/3 Par Value				712.0				I		By Child 3	
0000950170-24-019669	2182892	Common Stock, $1 2/3 Par Value				712.0				I		By Child 2	
0000950170-24-019669	2182891	Common Stock, $1 2/3 Par Value				712.0				I		By Child 1	
0000950170-24-019669	2182894	Common Stock, $1 2/3 Par Value				1240.58	F5			I		Through 401(k) Plan	
0001493152-24-007749	2183168	Common Stock				293255.0				I		See footnote	F5
0001493152-24-007749	2183167	Common Stock				293256.0				I		See footnote	F4
0001493152-24-007749	2183166	Common Stock				653255.0				I		See footnote	F3
0001415889-24-005156	2183022	Common Stock				1000.0				I		By spouse	
0001213900-24-016649	2183428	Common Stock, par value $0.01				25000.0				I		Hulse 2006 Rev Trust	
0001062993-24-004336	2183184	Common Stock				14520.0				I		By Spouse	
0001213900-24-016642	2182951	Common Stock, par value $0.01				7558.96				I		401(k)	
0000950170-24-019629	2182954	Class A Common Stock				230612.0				D			
0001213900-24-016641	2182872	Common Stock, par value $0.01				1200.0				I		IRA	
0001213900-24-016639	2183043	Common Stock, par value $0.01				16543.58				I		401(k)	
0001415889-24-005150	2183100	Common Stock				200643.0				D			
0001415889-24-005147	2183044	Common Stock				246639.0				D			
0001127602-24-006767	2183367	Common Stock				1946.0	F3			I		401(k) & Profit Sharing Plan	
0001104659-24-027160	2183105	Class A Common Stock				83000.0				I		Held by the Robins Family GST Trust 2021	
0001209191-24-003923	2183190	Common Stock				1117.0				I		Held in 401(k) Plan	
0001415889-24-005144	2183122	Common Stock				216615.0				D			
0001104659-24-027159	2183175	Class A Common Stock				42689.0				I		Held by Park Family 2022 Grantor Retained Annuity Trust III	
0001209191-24-003922	2183340	Common Stock				1183.0				I		Held in 401(k) Plan	
0001104659-24-027158	2183103	Class A Common Stock				274617.0				I		Held by the Paul Liberman 2020 Trust	
0001104659-24-027158	2183102	Class A Common Stock				2291406.0				I		Held by the Paul Liberman 2015 Revocable Trust	
0001104659-24-027157	2182981	Class A Common Stock				196279.0				I		Held by Kalish Family 2020 Irrevocable Trusts	
0001209191-24-003921	2183408	Common Stock				1585.0				I		Held in 401(k) Plan	
0001209191-24-003920	2183438	Common Stock				571.0				I		Held in 401(k) Plan	
0001209191-24-003919	2183231	Common Stock				4694.0				I		Held in 401(k) Plan	
0001209191-24-003918	2182918	Common Stock				21729.0				I		Held in Grantor Retained Annuity Trust	
0001209191-24-003918	2182917	Common Stock				21730.0				I		Held in Grantor Retained Annuity Trust	
0001209191-24-003918	2182916	Common Stock				21730.0				I		Held in Grantor Retained Annuity Trust	
0001209191-24-003918	2182915	Common Stock				27924.0				I		Held in 401(k) Plan	
0001209191-24-003917	2183277	Common Stock				5726.0				I		Held in 401(k) Plan	
0001209191-24-003916	2183354	Common Stock				454.0				I		Held in 401(k) Plan	
0001628280-24-006719	2183425	Ordinary Shares				2210.0	F1			D			
0001415889-24-005134	2183097	Common Stock				17000.0				D			
0001127602-24-006764	2183177	Common Stock				1000891131.0				I			
0001127602-24-006764	2183176	Common Stock				2342974.47				D		By Limited Liability Company	F11
0001127602-24-006763	2183081	Common Stock				6748580.0				D		By Limited Liability Company	F11
0001127602-24-006763	2183082	Common Stock				1000891131.0				I			
0001127602-24-006762	2182933	Common Stock				1000891131.0				I			
0001127602-24-006762	2182932	Common Stock				10507124.0				D		By Limited Liability Company	F11
0001127602-24-006761	2182958	Common Stock				79723.0				I		By Trust	
0001671933-24-000023	2183170	Class A Common Stock				186598.0				D		See Footnote	F8
0001671933-24-000023	2183171	Class A Common Stock				825216.0				I			
0001127602-24-006759	2183083	Common Stock				187.0				I		Webb Family Trust	
0000946724-24-000010	2183174	Common Stock				903030.0				D			
0001127602-24-006747	2183300	Common Stock				161.0				D			
0001127602-24-006741	2183042	Common Stock				38026.0				D			
0001127602-24-006740	2182909	Common Stock				23594.0				D		Matthijs Glastra 2021 Irrevocable Trust	
0001127602-24-006740	2182912	Common Stock				27693.0				I			
0001127602-24-006740	2182911	Common Stock				27693.0				I		Matthijs Glastra 2023 GRAT	
0001127602-24-006740	2182910	Common Stock				63882.0				I		Anna Maria Vogelaar 2020 Trust	
0001628280-24-006714	2183189	Common Stock				240829.0				I		By Werner Family Trust	
0001127602-24-006738	2182998	Common Stock				120679.0				D			
0001225208-24-002857	2183227	Common Stock				20409.0				I		By Trust	
0001127602-24-006736	2183115	Common Stock				739.0				D			
0001127602-24-006734	2183237	Common Stock				15483.0				D			
0001529274-24-000018	2183424	Common Stock				678232.0				I		See footnote	F2
0000950170-24-019560	2183323	Common Stock				961.0	F2			I		by 401(K) Plan	
0001783879-24-000051	2183133	Class A Common Stock				36045.0				D			
0000764065-24-000047	2182928	Common Shares				2101200.0				I		By 2023 grantor retained annuity trust	
0000764065-24-000047	2182927	Common Shares				898800.0				I		By 2022 grantor retained annuity trust	
0000074303-24-000058	2183431	Common Stock				8993.53	F1			I		By ESOP Trustee	
0000950170-24-019542	2183309	Common stock				156.0				I		By 401k	
0000950170-24-019541	2183031	Common Stock				30000.0				I		by Children's Trusts	
0000950170-24-019541	2183032	Common Stock				46.0	F2			I		by NOV Saving Plan	
0001562180-24-001709	2183199	Common Stock				371629.0				I		GRAT	F3
0001437749-24-005424	2183080	Common Stock				2500.0				I		By Revocable Trust	
0001127602-24-006729	2183306	Common Stock				1580.0				I		401(k) & Profit-Sharing Plan	
0001127602-24-006727	2182957	Common Stock				332.0	F2			I		401K Profit Sharing Plan	
0001437749-24-005420	2183125	Common Stock, No Par Value				218832.0				D			
0001127602-24-006725	2182873	Common Stock				2501.0	F3			I		401k & Profit Sharing Plan	
0001437749-24-005418	2183039	Common Stock, No Par Value				54513.0				D			
0001127602-24-006723	2182982	Common Stock				1650.0				I		401(k) & Profit Sharing Plan	F3
0000014272-24-000046	2183035	Common Stock, $0.10 par value				10011.0				D			
0001437749-24-005416	2183397	Common Stock, No Par Value				12007.0				D			
0001127602-24-006722	2183295	Common Stock				5723.0				I		By 401(k) and Profit-Sharing Plan	
0001127602-24-006721	2183285	Common Stock				4181.0	F1			I		401K & Profit Sharing Plan	
0000074303-24-000054	2183305	Common Stock $1 par value				133.95	F1			I		By ESOP Trustee	
0001437749-24-005411	2183364	Common Stock, No Par Value				0.0				D			
0001437749-24-005409	2182941	Common Stock				400.0				I		By Son IV	
0001437749-24-005409	2182942	Common Stock				666.7				I		By IRA	
0001437749-24-005409	2182940	Common Stock				400.0				I		By Son III	
0001437749-24-005409	2182939	Common Stock				400.0				I		By Son II	
0001437749-24-005409	2182938	Common Stock				400.0				I		By Son I	
0001437749-24-005409	2182937	Common Stock				411.85				I		By 401(k) Plan	
0001209191-24-003905	2183160	Class C Google Stock Units	F2			144179.0				D			
0001209191-24-003905	2183158	Class C Capital Stock				132502.0				D			
0001209191-24-003905	2183159	Class C Google Stock Units	F1			52640.0				D			
0001437749-24-005408	2182902	Common Stock, No Par Value				0.0				D			
0001437749-24-005405	2182859	Common Stock, No Par Value				37723.0				D			
0000798354-24-000056	2183373	Common Stock				14235.0				I		By Spouse	
0000798354-24-000056	2183374	Common Stock				4690.0				I		See Footnote	F3
0000798354-24-000056	2183375	Common Stock				707.0				I		See Footnote	F3
0000798354-24-000056	2183377	Common Stock				17173.0				I		See Footnote	F4
0000798354-24-000056	2183378	Common Stock				81550.0				I		By Trust	F5
0000798354-24-000056	2183376	Common Stock				1134.0				I		See Footnote	F3
0001213900-24-016578	2183351	Common Shares				200.0				I		By Daughter	
0001213900-24-016578	2183352	Common Shares				345000.0				I		By Family Limited Partnership	
0001213900-24-016578	2183350	Common Shares				9400.0				I		By Wife	
0000074303-24-000052	2182952	Common Stock				87763.0				I		By Trust	
0000798354-24-000054	2183320	Common Stock				37381.0				I		By Trust	F3
0001214659-24-003478	2183048	Class A Common Stock				1400000.0				I		By trust.	
0001214659-24-003478	2183045	Class A Common Stock				60323.0				I		By trust.	
0001214659-24-003478	2183047	Class A Common Stock				1554.0				I		As UTMA custodian for minor child.	
0001214659-24-003478	2183046	Class A Common Stock				4825.0				I		By trust.	
0000215466-24-000031	2182920	Common Stock, par value $0.01 per share				6000.0				I		College savings plan for daughter	
0001214659-24-003477	2183075	Class A Common Stock				492.0				I		As UTMA custodian for minor child.	
0001214659-24-003477	2183071	Class A Common Stock				186901.0	F5			I		By trust.	
0001214659-24-003477	2183072	Class A Common Stock				1400000.0	F5			I		By trust.	
0001214659-24-003477	2183073	Class A Common Stock				11000.0	F5			I		By trust.	
0001214659-24-003477	2183074	Class A Common Stock				491.0				I		As UTMA custodian for minor child.	
0000074303-24-000050	2182903	Common Stock $1 par value				92.54	F1			I		ESOP Trustee	
0000927066-24-000026	2183114	Common Stock				158506.0	F4			I		by 2012 Staffieri Family Trust	
0001018724-24-000046	2182956	Common Stock, par value $.01  per share				9883.75				I		Amazon.com 401(k) plan account	
0001018724-24-000046	2182955	Common Stock, par value $.01  per share				65500.0				I		In trust	
0001305168-24-000014	2183313	Common Stock				1732171.0				I		By Suriyakumar Family Trust	
0001305168-24-000014	2183315	Common Stock				500000.0				I		Seiyonne Suriyakumar 2013 Irrevocable Trust	
0001305168-24-000014	2183314	Common Stock				500000.0				I		Shiyulli Suriyakumar 2013 Irrevocable Trust	
0000798354-24-000049	2183404	Common Stock				22755.0	F1			D			
0001305168-24-000011	2183239	Common Stock				634001.0				I		Wijesuriya Family Trust DTD 9/4/2002	
0001474506-24-000083	2183301	Common Stock	F3			1851.0				I		By 401(K) Plan	
0000798354-24-000048	2183136	Common Stock				19454.0	F1			D			
0001415889-24-005107	2183365	Common shares without par value				2556.0	F2			I		Profit Sharing Trust	
0001437749-24-005402	2183054	Common Stock				1800.0				I		See Footnote	F2
0001437749-24-005401	2183066	Common Stock				7748.53				I		By 401(k) plan.	
0001437749-24-005401	2183065	Common Stock				95.0				I		By child.	
0001415889-24-005105	2183169	Common shares without par value				11399.0	F2			I		Profit Sharing Trust	
0001437749-24-005399	2183271	Common Stock				212827.96	F4			I		See Footnote	F5
0001437749-24-005399	2183272	Common Stock				1800.0				I		See Footnote	F6
0001437749-24-005399	2183269	Common Stock				5694671.0				I		See Footnote	F2
0001437749-24-005399	2183270	Common Stock				2863486.0				I		See Footnote	F3
0001364954-24-000011	2182978	Common Stock				161647.0				I		Schultz Family Trust	F2
0000074303-24-000048	2183090	Common Stock				0.4				I	F1	By ESOP Trustee	
0001415889-24-005101	2182878	Common shares without par value				56.0	F2			I		Profit Sharing Trust	
0001415889-24-005097	2182969	Common Stock				1363.96	F2			I		By Ecolab Savings Plan	
0001018724-24-000044	2182962	Common Stock, par value $.01  per share				6564.32				I		Amazon.com 401(k) plan account	
0000950170-24-019500	2183019	Class A Common Stock				396800.0	F6, F8, F7			D	F9		
0001415889-24-005092	2183193	Common shares without par value				20000.0	F2			I		By Trust	
0001415889-24-005092	2183194	Common shares without par value				20000.0	F2			I		By Trust	
0001415889-24-005092	2183195	Common shares without par value				18765.0	F3			I		Profit Sharing Trust	
0001415889-24-005092	2183196	Common shares without par value				500.0	F4			I		By Daughter	
0000092380-24-000043	2182874	Common Stock				848.0				I		By ProfitSharing Plan	F1
0001415889-24-005090	2182861	Common Stock				1441.57	F2			I		By Ecolab Savings Plan	
0000950170-24-019499	2183124	Common Stock				693226.0				I		By JAZZ Human Performance Opportunity Fund, L.P.	F2
0000950170-24-019499	2183123	Common Stock				3063364.0				I		By JAZZ Human Performance Technology Fund, L.P.	F1
0001415889-24-005088	2182953	Common shares without par value				197403.0	F2			I		Ford Family Trust	
0000092380-24-000041	2182836	Common Stock				12518.0				I		By ProfitSharing Plan	F1
0000840489-24-000063	2183236	Common Stock				4308.0				D			
0001474506-24-000081	2183206	Common Stock				180.0				I		By 401(K) Plan	
0001415889-24-005080	2183238	Common shares without par value				353.0	F2			I		Profit Sharing Trust	
0000092380-24-000039	2183128	Common Stock				351596.0				I		By Family Trust	F1
0000092380-24-000039	2183129	Common Stock				307718.0				I		By Family Trust 2	F2
0000092380-24-000039	2183130	Common Stock				67973.0				I		By Family Limited Partnership	F3, F4
0001628280-24-006689	2182994	Common Stock, $0.01 par value				423666.0				I		By Mary Angela Baker 2021 Irrevocable Trust	
0001628280-24-006689	2182995	Common Stock, $0.01 par value				363.0				I		By Roger A. Baker 2021 Irrevocable Trust	
0001415889-24-005079	2183010	Common Stock				3346.49	F2			I		By Ecolab Savings Plan	
0000858470-24-000049	2183435	Common Stock				2050616.0				I		By Trust	
0001415889-24-005075	2182868	Common Stock				5533.0				I		By Family Trust	
0000092380-24-000037	2183070	Common Stock				3784.0				I		By ProfitSharing Plan	F1
0000858470-24-000046	2183402	Common Stock				0.0	F2			I		Held in 401(k).	
0001018724-24-000042	2183096	Common Stock, par value $.01  per share				1527.32				I		Amazon.com 401(k) plan account	
0001628280-24-006686	2183150	Common Stock				29894.0				I		by Family Trust	
0000950170-24-019494	2183318	Common				1784.0				D			
0000950170-24-019494	2183317	Common				0.0				I		Co-Trustee of Deceased Father's Trust	
0001127602-24-006716	2183183	Common Stock				10000000.0				I	F6	By Marc Benioff Fund LLC	
0001733998-24-000037	2182885	Common Stock				216.46				I		See Footnote	F6
0000092380-24-000035	2183018	Common Stock				1630.0				I		By ProfitSharing Plan	F1
0001225208-24-002846	2183262	Common Stock, $0.01 par value				4055.0	F2			I		By 401(k) plan	
0001733998-24-000035	2183361	Common Stock				188.16				I		See Footnote	F4
0001733998-24-000035	2183360	Common Stock				6416.31				I		See Footnote	F3
0001225208-24-002845	2182944	Common Stock, $0.01 par value				420.0	F2			I		By 401(k) plan	
0001225208-24-002845	2182945	Common Stock, $0.01 par value				2846.0				I		By Trust	
0001225208-24-002844	2182900	Class A Common - Restricted Stock Units				36102.0				D		401(k) account	
0001225208-24-002844	2182901	Class A Common Stock				1883.0				I			
0001104659-24-027107	2183020	Common Stock				1106.0				I		The Sheldon Family Trust	F2
0000929638-24-000754	2183426	Class A Common Stock				1559510.0				I		See Footnotes	F3, F1
0000929638-24-000754	2183427	Class A Common Stock				633466.0				I		See Footnotes	F1, F4
0001733998-24-000031	2183077	Common Stock				2036.66				I		See Footnote	F3
0001733998-24-000031	2183078	Common Stock				17495.17				I		See Footnote	F4
0001225208-24-002839	2183156	Common Stock, $0.01 par value				1443.0				I		By Spouse's Trust	
0001225208-24-002839	2183157	Common Stock, $0.01 par value				343.0				I		By Trust	
0001561680-24-000023	2183053	Common Stock				610000.0				I		See Note	F2
0001561680-24-000022	2183385	Common Stock				350611.0				I		See Note	F2
0000950170-24-019479	2183353	Class A Common Stock				1285011.0				I		By Husband	
